id,priority,level,file,index,word,wordType,article,articleStatus,plural,pluralStatus,flags,reviewerPrompt,meaningVi,meaningDe,exampleSentence1,reviewerVerdict,reviewerNotes
"content/c1/vocabulary/03-bioethik-gentechnik.json#words[15]","P1","C1","content/c1/vocabulary/03-bioethik-gentechnik.json","15","Genom-Editierung","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","chỉnh sửa bộ gen","die gezielte Veränderung von DNA-Abschnitten in einem Organismus","Die Genom-Editierung mittels CRISPR/Cas9-Technologie eröffnet revolutionäre Möglichkeiten zur Heilung genetisch bedingter Krankheiten.","",""
"content/c1/vocabulary/04-urbanisierung-raumplanung.json#words[37]","P1","C1","content/c1/vocabulary/04-urbanisierung-raumplanung.json","37","Nutzungsdruck","NOMEN","MASKULIN","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","áp lực sử dụng","Hohe Nachfrage nach der Nutzung von begrenztem Raum","Aufgrund des Bevölkerungswachstums und der wirtschaftlichen Entwicklung steigt der Nutzungsdruck auf die begrenzten Flächen im urbanen Raum.","",""
"content/c1/vocabulary/21-voelkerrecht-souveraenitaet.json#words[5]","P1","C1","content/c1/vocabulary/21-voelkerrecht-souveraenitaet.json","5","Nicht-Einmischung","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Không can thiệp","Der völkerrechtliche Grundsatz, dass Staaten die inneren Angelegenheiten anderer Staaten respektieren und nicht beeinflussen dürfen.","Das Prinzip der Nicht-Einmischung in die inneren Angelegenheiten souveräner Staaten ist ein Eckpfeiler der UN-Charta.","",""
"content/c1/vocabulary/24-justizwesen-strafvollzug.json#words[8]","P1","C1","content/c1/vocabulary/24-justizwesen-strafvollzug.json","8","Präventivhaft","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tạm giam phòng ngừa","die Inhaftierung einer Person, um eine Straftat zu verhindern","Die Verhängung von Präventivhaft ist ein kontroverses Thema, da sie die Freiheit einer Person ohne vorherige Verurteilung einschränkt.","",""
"content/c1/vocabulary/31-kuenstliche-intelligenz-ml.json#words[15]","P1","C1","content/c1/vocabulary/31-kuenstliche-intelligenz-ml.json","15","maschinelles Lernen","NOMEN","NEUTRUM","","","not_applicable_or_needs_review","example_lexeme_presence_needs_review;plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable. Check that examples clearly demonstrate the target lexeme or an acceptable inflected form.","học máy","Ein Teilbereich der Informatik, bei dem Systeme Muster in Daten erkennen und daraus eigenständig lernen.","Das maschinelle Lernen hat die Art und Weise, wie wir Daten analysieren und interpretieren, revolutioniert.","",""
"content/c1/vocabulary/35-urbanisierung-smart-city.json#words[14]","P1","C1","content/c1/vocabulary/35-urbanisierung-smart-city.json","14","Datenmanagement","NOMEN","NEUTRUM","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Quản lý dữ liệu","Die organisierte Verwaltung und Nutzung von digitalen Informationen.","Ein effektives Datenmanagement ist entscheidend, um die riesigen Datenmengen, die in einer Smart City generiert werden, sinnvoll zu nutzen und zu schützen.","",""
"content/c1/vocabulary/52-sicherheitspolitik-nato.json#words[14]","P1","C1","content/c1/vocabulary/52-sicherheitspolitik-nato.json","14","Proliferation","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","sự phổ biến, sự tăng nhanh (ví dụ: vũ khí)","Die schnelle Ausbreitung oder Vermehrung, besonders von Kernwaffen","Die Nichtverbreitung und die Eindämmung der Proliferation von Atomwaffen sind zentrale Anliegen der internationalen Sicherheitspolitik.","",""
"content/c1/vocabulary/54-flucht-asylrecht.json#words[12]","P1","C1","content/c1/vocabulary/54-flucht-asylrecht.json","12","Fluchtursachen","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Nguyên nhân chạy trốn/di cư","Die Gründe, warum Menschen ihre Heimat verlassen müssen.","Die langfristige Lösung der Flüchtlingskrise erfordert eine konsequente Bekämpfung der Fluchtursachen in den Herkunftsländern.","",""
"content/c1/vocabulary/58-cybersicherheit-cyberkrieg.json#words[6]","P1","C1","content/c1/vocabulary/58-cybersicherheit-cyberkrieg.json","6","Datenhoheit","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Chủ quyền dữ liệu","Die volle Kontrolle und Entscheidungsgewalt über die eigenen Daten.","Die Debatte über die Datenhoheit wird immer wichtiger, insbesondere im Kontext grenzüberschreitender Datenflüsse und Cloud-Dienste.","",""
"content/c1/vocabulary/61-forensik-kriminalistik.json#words[14]","P1","C1","content/c1/vocabulary/61-forensik-kriminalistik.json","14","Kriminalitätsprävention","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","phòng ngừa tội phạm","Maßnahmen, die dazu dienen, Straftaten im Vorfeld zu verhindern.","Investitionen in die Kriminalitätsprävention sind langfristig effektiver als reine Strafverfolgung.","",""
