file_path,item_id,level,type,teil,prompt,answer,options,key_evidence,de,vi,de_class,prescreen_flags,selection_reason,verdict,error_dimension,note
"content/a1/reading/A1-T1-003.json","Q2","a1","richtig_falsch","1","Sarah möchte am Vormittag zum Arzt gehen.","richtig","","Am Vormittag habe ich Zeit","Im Text steht: 'Am Vormittag habe ich Zeit, am besten um 10 Uhr.' Sarah möchte am Vormittag kommen.","Đáp án: richtig (ĐÚNG). Nhận định: „Sarah möchte am Vormittag zum Arzt gehen.“. Bằng chứng trong bài: „Am Vormittag habe ich Zeit“. Đối chiếu nhận định với đoạn này trong bài để thấy vì sao.","translate-only","","stratified","","",""
"content/a1/reading/A1-T1-009.json","Q4","a1","richtig_falsch","1","Markus muss ein Attest mitbringen.","richtig","","Bringen Sie bitte ein Attest vom Arzt mit","Im Text steht: 'Bringen Sie bitte ein Attest vom Arzt mit.'","Đáp án: richtig (ĐÚNG). Nhận định: „Markus muss ein Attest mitbringen.“. Bằng chứng trong bài: „Bringen Sie bitte ein Attest vom Arzt mit“. Đối chiếu nhận định với đoạn này trong bài để thấy vì sao.","translate-only","","stratified","","",""
"content/a1/reading/A1-T1-009.json","Q5","a1","richtig_falsch","1","Der Chef ist böse auf Markus.","falsch","","Gute Besserung","Im Text steht: 'Gute Besserung!' und 'ruhen Sie sich gut aus!' Der Chef ist freundlich, nicht böse.","Đáp án: falsch (SAI). Nhận định: „Der Chef ist böse auf Markus.“. Bằng chứng trong bài: „Gute Besserung“. Đối chiếu nhận định với đoạn này trong bài để thấy vì sao.","translate-only","","stratified","","",""
"content/a1/reading/A1-T1-010.json","Q5","a1","richtig_falsch","1","Emma ist zehn Jahre alt.","falsch","","Sie ist 8 Jahre alt","Im Text steht: 'Sie ist 8 Jahre alt.' Emma ist 8 Jahre alt, nicht 10.","Đáp án: falsch (SAI). Nhận định: „Emma ist zehn Jahre alt.“. Bằng chứng trong bài: „Sie ist 8 Jahre alt“. Đối chiếu nhận định với đoạn này trong bài để thấy vì sao.","translate-only","","stratified","","",""
"content/a1/reading/A1-T2-003.json","Q7","a1","matching_ab","2","Frau Meier möchte sich gegen Grippe impfen lassen.","A","","Praxis Dr. Schmidt – Allgemeinmedizin","Die Textstelle „Praxis Dr. Schmidt – Allgemeinmedizin“ belegt die richtige Antwort (A).","Tình huống „Frau Meier möchte sich gegen Grippe impfen lassen.“ khớp với mục A. Bằng chứng trong bài: „Praxis Dr. Schmidt – Allgemeinmedizin“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","rewritten","","stratified","","",""
"content/a1/reading/A1-T2-004.json","Q7","a1","matching_ab","2","Emma ist 7 Jahre alt. Sie möchte Gitarre spielen lernen.","B","","Musikschule für Kinder – Klangwelt; Kinder 5–14 Jahre; Gitarre, Klavier, Flöte. Kostenlose Probestunde. Aufführung im Dezember.","Die Textstelle „Musikschule für Kinder – Klangwelt; Kinder 5–14 Jahre; Gitarre, Klavier, Flöte. Kostenlose Probestunde. Aufführung im Dezember.“ belegt die richtige Antwort (B).","Tình huống „Emma ist 7 Jahre alt. Sie möchte Gitarre spielen lernen.“ khớp với mục B. Bằng chứng trong bài: „Musikschule für Kinder – Klangwelt; Kinder 5–14 Jahre; Gitarre, Klavier, Flöte. Kostenlose Probestunde. Aufführung im Dezember.“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","rewritten","","stratified","","",""
"content/a1/reading/A1-T2-004.json","Q8","a1","matching_ab","2","Frau Meier möchte zuerst eine Stunde testen, bevor sie bezahlt.","B","","Musikschule für Kinder – Klangwelt; Gitarre, Klavier, Flöte. Kostenlose Probestunde. Aufführung im Dezember.","Die Textstelle „Musikschule für Kinder – Klangwelt; Gitarre, Klavier, Flöte. Kostenlose Probestunde. Aufführung im Dezember.“ belegt die richtige Antwort (B).","Tình huống „Frau Meier möchte zuerst eine Stunde testen, bevor sie bezahlt.“ khớp với mục B. Bằng chứng trong bài: „Musikschule für Kinder – Klangwelt; Gitarre, Klavier, Flöte. Kostenlose Probestunde. Aufführung im Dezember.“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","rewritten","","stratified","","",""
"content/a1/reading/A1-T2-008.json","Q6","a1","matching_ab","2","Herr Fischer möchte früh morgens um 6:30 Uhr Sport machen.","A","","Schwimmbad Aqua Fun","Die Textstelle „Schwimmbad Aqua Fun“ belegt die richtige Antwort (A).","Tình huống „Herr Fischer möchte früh morgens um 6:30 Uhr Sport machen.“ khớp với mục A. Bằng chứng trong bài: „Schwimmbad Aqua Fun“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","rewritten","","stratified","","",""
"content/a1/reading/A1-T3-005.json","Q12","a1","richtig_falsch","3","Die Klingel funktioniert nicht.","richtig","","Klingel defekt","Auf dem Schild steht: 'Klingel defekt!' Defekt bedeutet kaputt/funktioniert nicht.","Đáp án: richtig (ĐÚNG). Nhận định: „Die Klingel funktioniert nicht.“. Bằng chứng trong bài: „Klingel defekt“. Đối chiếu nhận định với đoạn này trong bài để thấy vì sao.","translate-only","","stratified","","",""
"content/a1/reading/A1-T3-007.json","Q14","a1","richtig_falsch","3","Hier darf man sein Auto abstellen.","falsch","","Parkverbot! Hier dürfen keine Autos parken","Auf dem Schild steht: 'Parkverbot! Hier dürfen keine Autos parken.'","Đáp án: falsch (SAI). Nhận định: „Hier darf man sein Auto abstellen.“. Bằng chứng trong bài: „Parkverbot! Hier dürfen keine Autos parken“. Đối chiếu nhận định với đoạn này trong bài để thấy vì sao.","translate-only","","stratified","","",""
