"id","title","score","evidence","confidence","scope","observed","gap"
"D01.1","Người dùng, vấn đề và phạm vi","2","product-ux-analytics.md","Vừa","PRD/roadmap/source","Có định vị B2C người Việt và module scope","Nghiên cứu nhu cầu người học thật chưa có"
"D01.2","Onboarding đến hành động đầu tiên","2","product-ux-analytics.md","Vừa","Source + fixture UI","Goal/level/time/save/retry và activation contract có","Signup Firebase và người mới đến bài hoàn chỉnh chưa đo"
"D01.3","Dashboard đề xuất bước học","1","product-ux-analytics.md","Cao","Source + 2 viewport audit learner","1mastered+5locked,0primary; course vẫn truy cập được","Chưa nối goal/due SRS/next node"
"D01.4","Roadmap, dependency, acceptance","2","product-ux-analytics.md","Vừa","Tài liệu đối chiếu route active","Có owner/acceptance; runtime lệch một số cam kết","Cần bảng trạng thái current revision"
"D02.1","Can-do và CEFR","1","content-academic.md","Vừa","Inventory + 180 mẫu text","Có metadata/LO nhưng nhiều can-do chung chung","Chưa có human alignment/signoff và outcome validation"
"D02.2","Ngôn ngữ Đức và hỗ trợ Việt","1","content-academic.md","Cao với ví dụ; vừa toàn kho","180 mẫu,36 review chéo và6case rủi ro","Lỗi template, cú pháp, encoding và hướng dẫn phát âm đã thấy","LanguageTool full run bị chặn hạ tầng; không suy rộng tỷ lệ lỗi"
"D02.3","Đáp án, distractor và rubric","1","content-academic.md","Cao với ví dụ","Semantic review + structural scan","Có distractor cùng đúng, evidence sai, rubric thiếu band","Phải rà toàn nhóm template và hiệu chuẩn người duyệt"
"D02.4","Audio, bài mở và format thi","1","content-academic.md","Vừa","Source/script,0audio nghe thật","Writing29/30 mẫu có vấn đề; transcript/intro lệch, audio pending","Acoustic và đối chiếu format thi chính thức theo phiên bản U"
"D03.1","Nhiệm vụ mobile và desktop","2","product-ux-analytics.md","Vừa","13fixture states; actual dashboard 2viewport","Navigation2/2 đạt; avatar không phản hồi","Chưa có usability completion time người học"
"D03.2","Loading, empty, error, retry, locked","1","product-ux-analytics.md","Cao với canvas","Fixture + fault injection","Shared shells có; canvasnull bỏ toàn bộ node/lesson link","Chưa replay mọi route/error dependency"
"D03.3","Accessibility và reflow","1","product-ux-analytics.md","Cao với lỗi được đo","axe + keyboard/reduced motion/320px","11/13fixture cases có serious contrast; onboarding tràn390px","Screen reader,zoom toàn diện,multibrowser U"
"D03.4","Design và gamification hỗ trợ học","2","product-ux-analytics.md","Vừa","Source components/FSM/readout","Shared receipt/tokens/reduced motion hiện hữu","Hiệu quả duy trì học và reward-only behavior thật U"
"D04.1","Luồng learner,teacher,admin trọng yếu","2","technical-quality.md","Vừa","Core970,hardening5,API seed,UI probes","Luồng mẫu và role negatives có bằng chứng thực","Chưa full Firebase/provider/classroom/thi end-to-end"
"D04.2","Submit,retry,reload,expire nhất quán","1","technical-quality.md","Cao với probe","Audit DB thực","Submit/reload đạt nhưng clientXP/replay nhân tiến độ","Concurrency/timezone/session expiry toàn matrix chưa chạy"
"D04.3","Empty,invalid input,wrong role,dependency error","2","technical-quality.md","Vừa","Unit/smoke/negative API","Negative time400,anonymous401; nhiều negative guards có","Provider outage/micdenial và toàn ownership matrix chưa đủ"
"D04.4","Test fidelity và coverage","2","technical-quality.md","Cao","Kết quả chạy mới","970core; property1timeout;4interaction stale,6notrun","Chưa toàn suite xanh hiện revision,active-route coverage cần sửa"
"D05.1","Tutor/chấm đúng rubric,không false correction","1","content-academic.md","Vừa","Prompt + fixture eval","Có triển khai,fixture5/5; speaking chưa gắn rubric4chiều","Provider corpus/gold adjudication chưa có"
"D05.2","Feedback cụ thể,đúng cấp độ và tiếng Việt","1","content-academic.md","Vừa","Prompt/fixture/source","Signal tự khai không chứng minh VI; mẫu writing yếu","Chưa pair feedback/revision được người duyệt đối chiếu"
"D05.3","Timeout,fallback,latency,cost AI","1","technical-quality.md","Vừa","Unit/source/cache/queue/usage reader","Có timeout/fallback/queue; usage writer thiếu","Latency,cost,error rate provider thực U"
"D05.4","Mic,STT,TTS,transcript và lỗi provider","U","technical-quality.md","Thiếu bằng chứng","0audio nghe thật; service/provider không chạy","Đã kiểm kê source và audio status","Cần golden audio,nghe thật,mic/network/provider tests"
"D06.1","Ranh giới kiến trúc và owner","2","technical-quality.md","Vừa","Manifests/imports/system map","Web/AI/STT/shared/SRS/DB tách package","Owner triển khai và đường active STT cần xác nhận"
