finding_id,level,skill,file_path,item_id,dimension,severity,evidence,recommended_fix
F-0001,a2,vocabulary,content/a2/vocabulary/05-umwelt-natur.json,words[3].Müll trennen,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0002,a2,vocabulary,content/a2/vocabulary/13-reisen-tourismus.json,words[11].Hin- und Rückfahrt,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0003,a2,vocabulary,content/a2/vocabulary/20-wetter-klima.json,words[19].Temperatur,D1,P0,"article=""FEMINUM"" ngoài enum {MASKULIN,FEMININ,NEUTRUM}",Sửa article về enum hợp lệ (defer) | Genus enum sai gây sai tiếng Đức (P0)
F-0004,a2,vocabulary,content/a2/vocabulary/20-wetter-klima.json,words[21].Wolke,D1,P0,"article=""FEMINUM"" ngoài enum {MASKULIN,FEMININ,NEUTRUM}",Sửa article về enum hợp lệ (defer) | Genus enum sai gây sai tiếng Đức (P0)
F-0005,a2,vocabulary,content/a2/vocabulary/20-wetter-klima.json,words[28].Jahreszeit,D1,P0,"article=""FEMINUM"" ngoài enum {MASKULIN,FEMININ,NEUTRUM}",Sửa article về enum hợp lệ (defer) | Genus enum sai gây sai tiếng Đức (P0)
F-0006,c1,vocabulary,content/c1/vocabulary/01-gesellschaftskritik-diskurs.json,words[34].per se,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0007,c1,vocabulary,content/c1/vocabulary/03-bioethik-gentechnik.json,words[35].im Spannungsfeld,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0008,c1,vocabulary,content/c1/vocabulary/17-verfassungsrecht-staatstheorie.json,words[33].demokratisch verfasst,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0009,c1,vocabulary,content/c1/vocabulary/17-verfassungsrecht-staatstheorie.json,words[34].kraft Gesetzes,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0010,c1,vocabulary,content/c1/vocabulary/18-finanzmaerkte-regulierung.json,words[33].aufgrund von,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
